"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",89,103,18,8,43,12,11,5,30,37.7,36.8,21,17
"Season",110.6,103,20.7,9,44.7,20,13,8.3,40.9,45.2,31.5,23.7,14.7
"Diff",-21.6,0,-2.7,-1,-1.7,-8,-2,-3.3,-10.9,-7.5,5.3,-2.7,2.3
