"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",84,102,20,8,41,17,6,16,34,43,25,11,18
"Season",99.9,93.3,21.7,8,42.4,23.4,9.1,8.3,37.1,46,38,19.4,17.9
"Diff",-15.9,8.7,-1.7,0,-1.4,-6.4,-3.1,7.7,-3.1,-3,-13,-8.4,0.100000000000001
