"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",96,81,18,14,49,22,12,5,36,46.8,41.9,13,21
"Season",98.1,96.3,22,7.1,41.3,22.7,8.3,9.9,36.9,45.4,35.6,19.1,17.4
"Diff",-2.09999999999999,-15.3,-4,6.9,7.7,-0.699999999999999,3.7,-4.9,-0.899999999999999,1.4,6.3,-6.1,3.6
