"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",104,89,25,5,34,33,11,10,28,47.5,45.7,15,14
"Season",97,95.1,21,8.4,43.4,21.1,8.4,9.1,38,45.3,35,18.9,18.4
"Diff",7,-6.09999999999999,4,-3.4,-9.4,11.9,2.6,0.9,-10,2.2,10.7,-3.9,-4.4
