"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",126,121,22,15,48,18,16,5,60,50,33.3,35,18
"Season",111.7,117.3,21.3,10.3,44.3,17.5,12.5,15,42.3,43.4,37.2,28.2,14.7
"Diff",14.3,3.7,0.699999999999999,4.7,3.7,0.5,3.5,-10,17.7,6.6,-3.90000000000001,6.8,3.3
