"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",86,107,18,4,34,9,6,2,26,40.5,37.9,21,16
"Season",118.7,120.4,21.9,12.4,47,18.9,14.7,15.6,48.3,44.5,35.5,31,15.1
"Diff",-32.7,-13.4,-3.9,-8.4,-13,-9.9,-8.7,-13.6,-22.3,-4,2.4,-10,0.9
