"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",112,107,22,10,38,24,11,14,32,43,37,21,12
"Season",115,120.4,21.3,11.6,46.4,16.7,14,13.9,47.4,44.1,35.6,31,15.7
"Diff",-3,-13.4,0.699999999999999,-1.6,-8.4,7.3,-3,0.0999999999999996,-15.4,-1.1,1.4,-10,-3.7
