"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",110,93,18,9,49,16,8,11,30,47.5,43.3,26,14
"Season",105.1,105.4,19,9.3,50.3,12.4,12.1,8.3,43.1,44.5,36.6,28.3,14.1
"Diff",4.90000000000001,-12.4,-1,-0.300000000000001,-1.3,3.6,-4.1,2.7,-13.1,3,6.7,-2.3,-0.0999999999999996
