"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",94,103,17,10,48,15,5,4,32,42.3,26.9,36,14
"Season",104.3,101.2,18.8,9.5,52,11.5,12.2,10,41.3,43.9,36,26.5,14.7
"Diff",-10.3,1.8,-1.8,0.5,-4,3.5,-7.2,-6,-9.3,-1.6,-9.1,9.5,-0.699999999999999
