"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",126,121,21,7,41,19,15,5,52,53.6,56,29,11
"Season",104.3,101.2,18.8,9.5,52,11.5,12.2,10,41.3,43.9,36,26.5,14.7
"Diff",21.7,19.8,2.2,-2.5,-11,7.5,2.8,-5,10.7,9.7,20,2.5,-3.7
