"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",90,102,16,3,47,6,4,0,30,39.7,30,29,17
"Season",108,104.1,19.3,10.1,50.6,13.9,12.7,9.9,43.1,45.7,38.5,27.9,13.7
"Diff",-18,-2.09999999999999,-3.3,-7.1,-3.6,-7.9,-8.7,-9.9,-13.1,-6,-8.5,1.1,3.3
