"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",130,132,17,10,50,21,7,15,46,48.9,48.3,38,20
"Season",104.1,114.4,18.4,9.9,46.6,15.4,12.9,9.6,44.9,43.8,33.3,26.3,16.6
"Diff",25.9,17.6,-1.4,0.0999999999999996,3.4,5.6,-5.9,5.4,1.1,5.1,15,11.7,3.4
