"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",76,124,10,10,33,12,12,17,34,31.5,25.9,18,16
"Season",112.7,115.8,19.2,9.5,49.5,16.7,12,9.7,47,46.9,36.9,29,17.2
"Diff",-36.7,8.2,-9.2,0.5,-16.5,-4.7,0,7.3,-13,-15.4,-11,-11,-1.2
