"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",79,96,15,12,39,13,10,12,34,36.5,36.4,13,13
"Season",95.1,106.9,19.3,10.1,40.7,14.6,10.6,9.1,43.1,43.5,32.3,17,14
"Diff",-16.1,-10.9,-4.3,1.9,-1.7,-1.6,-0.6,2.9,-9.1,-7,4.1,-4,-1
