"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",93,88,20,16,57,6,14,6,26,42.5,43.5,13,14
"Season",93.1,108,18.6,9.6,38.1,15.6,10,10,44.3,42.7,31.2,17,13.9
"Diff",-0.0999999999999943,-20,1.4,6.4,18.9,-9.6,4,-4,-18.3,-0.200000000000003,12.3,-4,0.0999999999999996
