"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",81,96,17,14,39,24,17,8,40,38.3,22.7,20,16
"Season",107.6,109,23.3,7.7,45.6,15.1,9.3,16.6,57.4,47.8,29.9,22.4,17.4
"Diff",-26.6,-13,-6.3,6.3,-6.6,8.9,7.7,-8.6,-17.4,-9.5,-7.2,-2.4,-1.4
