"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",113,93,30,11,53,12,15,17,62,49.5,46.2,14,14
"Season",103,109.4,21.4,8.1,43.6,16.9,9.6,15.3,54.3,46.2,26.5,23.3,17.7
"Diff",10,-16.4,8.6,2.9,9.4,-4.9,5.4,1.7,7.7,3.3,19.7,-9.3,-3.7
