"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",92,108,21,12,52,13,10,10,52,40.7,25,23,19
"Season",106,107.3,22.7,8,43.7,16.7,10.3,16.3,55.7,47.5,29.6,22,17
"Diff",-14,0.700000000000003,-1.7,4,8.3,-3.7,-0.300000000000001,-6.3,-3.7,-6.8,-4.6,1,2
