"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",108,112,18,13,45,11,22,5,56,44.8,36.8,21,11
"Season",112,107.1,24.1,10,44.1,18.9,13.3,16.6,43.7,48.7,39.6,23.7,15.1
"Diff",-4,4.90000000000001,-6.1,3,0.899999999999999,-7.9,8.7,-11.6,12.3,-3.90000000000001,-2.8,-2.7,-4.1
