"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",101,83,25,14,53,18,16,14,40,42.4,41.4,22,14
"Season",113,111.3,23.1,9.9,43,17.9,14.1,15.3,46,49,38.9,23.6,14.7
"Diff",-12,-28.3,1.9,4.1,10,0.100000000000001,1.9,-1.3,-6,-6.6,2.5,-1.6,-0.699999999999999
