"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",97,94,21,6,44,12,9,15,34,46.8,45.5,20,19
"Season",113.6,109.7,23.7,11,44.3,18.7,15.1,15.1,46.9,48.4,38.3,23.9,14
"Diff",-16.6,-15.7,-2.7,-5,-0.299999999999997,-6.7,-6.1,-0.0999999999999996,-12.9,-1.6,7.2,-3.9,5
