"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",115,99,27,6,43,25,4,12,32,50.6,47.1,18,16
"Season",114.9,107.9,25,8.4,44,17.9,12.4,10.1,46,48.9,43.1,22.6,16
"Diff",0.0999999999999943,-8.90000000000001,2,-2.4,-1,7.1,-8.4,1.9,-14,1.7,4,-4.6,0
