"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",121,126,30,9,40,17,11,6,38,50.6,54.5,15,22
"Season",112.2,101.2,25.3,8.3,44.5,19.5,12.2,11,43,48.8,43.3,20.2,15.8
"Diff",8.8,24.8,4.7,0.699999999999999,-4.5,-2.5,-1.2,-5,-5,1.8,11.2,-5.2,6.2
