"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",116,109,22,11,51,22,22,11,56,47.8,38.1,29,14
"Season",114.7,106.4,25.7,7.7,42.9,18.3,9.9,10.3,42.6,49.3,44.4,21,16.3
"Diff",1.3,2.59999999999999,-3.7,3.3,8.1,3.7,12.1,0.699999999999999,13.4,-1.5,-6.3,8,-2.3
