"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",96,89,21,6,45,17,5,13,28,42.3,36.7,22,15
"Season",104.7,92.2,22.5,11.7,48.2,17.7,12.3,9,40.7,45.1,35.1,24.2,13.5
"Diff",-8.7,-3.2,-1.5,-5.7,-3.2,-0.699999999999999,-7.3,4,-12.7,-2.8,1.6,-2.2,1.5
