"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",108,94,24,15,54,12,6,11,54,47.7,35.5,16,13
"Season",102.3,93.7,22.1,10.3,46.1,18.3,12.1,8.9,38.3,44,35.9,24.6,13.6
"Diff",5.7,0.299999999999997,1.9,4.7,7.9,-6.3,-6.1,2.1,15.7,3.7,-0.399999999999999,-8.6,-0.6
