"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",99,102,24,9,46,24,2,16,42,40.9,25,25,10
"Season",103.6,92.6,22.1,11.1,47.3,16.6,12.7,8.1,40,45,37.4,23.3,14
"Diff",-4.59999999999999,9.40000000000001,1.9,-2.1,-1.3,7.4,-10.7,7.9,2,-4.1,-12.4,1.7,-4
